procedure_code,description,price
A2002,"Mirragen advanced wound matrix, per square centimeter (add-on, list separately in addition to primary procedure)",127.25
A2015,"Phoenix wound matrix, per square centimeter (add-on, list separately in addition to primary procedure)",127.25
A2029,"Mirotract wound matrix sheet, per cubic centimeter (add-on, list separately in addition to primary procedure)",127.25
A2031,"Mirodry wound matrix, per square centimeter (add-on, list separately in addition to primary procedure)",127.25
A2045,"Novashield or novogen wound matrix (add-on, list separately in addition to primary procedure), per square centimeter",127.25
A4255,"Platforms for home blood glucose monitor, 50 per box",5.85
A4271,"Integrated lancing and blood sample testing cartridges for home blood glucose monitor, per 50 tests",34.10
A4461,"Surgical dressing holder, non-reusable, each",4.70
A4463,"Surgical dressing holder, reusable, each",18.97
A4481,"Tracheostoma filter, any type, any size, each",0.52
A4559,"Coupling gel or paste, for use with ultrasound device, per oz",0.13
A4608,"Transtracheal oxygen catheter, each",71.44
A4616,"Tubing (oxygen), per foot",0.08
A4623,"Tracheostomy, inner cannula",9.34
A4625,Tracheostomy care kit for new tracheostomy,9.87
A4626,"Tracheostomy cleaning brush, each",4.54
A4629,Tracheostomy care kit for established tracheostomy,6.63
A6010,"Collagen based wound filler, dry form, sterile, per gram of collagen",44.14
A6011,"Collagen based wound filler, gel/paste, per gram of collagen",3.25
A6021,"Collagen dressing, sterile, size 16 sq. in. or less, each",29.97
A6022,"Collagen dressing, sterile, size more than 16 sq. in. but less than or equal to 48 sq. in., each",29.97
A6023,"Collagen dressing, sterile, size more than 48 sq. in., each",271.22
A6024,"Collagen dressing wound filler, sterile, per 6 inches",8.81
A6154,"Wound pouch, each",20.49
A6196,"Alginate or other fiber gelling dressing, wound cover, sterile, pad size 16 sq. in. or less, each dressing",10.49
A6197,"Alginate or other fiber gelling dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., each dressing",23.44
A6199,"Alginate or other fiber gelling dressing, wound filler, sterile, per 6 inches",7.52
A6203,"Composite dressing, sterile, pad size 16 sq. in. or less, with any size adhesive border, each dressing",4.80
A6204,"Composite dressing, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., with any size adhesive border, each dressing",8.86
